run_id,backend,latency_ms
1,cpu,0.137000
2,cpu,0.108000
3,cpu,0.103125
4,cpu,0.097084
5,cpu,0.100000
6,cpu,0.093500
7,cpu,0.092584
8,cpu,0.093625
9,cpu,0.094375
10,cpu,0.093458
11,cpu,0.093958
12,cpu,0.092333
13,cpu,0.092292
14,cpu,0.088375
15,cpu,0.091500
16,cpu,0.092542
17,cpu,0.092125
18,cpu,0.088167
19,cpu,0.088250
20,cpu,0.087542
21,cpu,0.088083
22,cpu,0.091250
23,cpu,0.088542
24,cpu,0.087708
25,cpu,0.087833
26,cpu,0.088375
27,cpu,0.087750
28,cpu,0.088000
29,cpu,0.094083
30,cpu,0.094250
31,cpu,0.094875
32,cpu,0.094000
33,cpu,0.099083
34,cpu,0.099417
35,cpu,0.096458
36,cpu,0.101542
37,cpu,0.095959
38,cpu,0.095417
39,cpu,0.095541
40,cpu,0.095541
41,cpu,0.095125
42,cpu,0.095584
43,cpu,0.096250
44,cpu,0.096209
45,cpu,0.096792
46,cpu,0.095666
47,cpu,0.095833
48,cpu,0.099333
49,cpu,0.096750
50,cpu,0.095625
51,mps,3.268333
52,mps,3.663375
53,mps,3.399625
54,mps,3.454250
55,mps,3.220792
56,mps,3.234750
57,mps,3.484000
58,mps,3.192000
59,mps,3.194834
60,mps,3.192625
61,mps,3.086125
62,mps,3.323709
63,mps,3.110958
64,mps,3.200625
65,mps,3.353375
66,mps,3.068792
67,mps,3.461792
68,mps,3.120833
69,mps,3.184792
70,mps,3.159083
71,mps,3.031542
72,mps,3.558250
73,mps,3.199750
74,mps,3.204750
75,mps,3.103583
76,mps,3.124792
77,mps,3.318583
78,mps,3.848459
79,mps,3.158958
80,mps,3.139083
81,mps,3.139417
82,mps,3.687042
83,mps,3.313792
84,mps,3.565958
85,mps,3.185667
86,mps,3.197625
87,mps,3.521875
88,mps,3.178292
89,mps,3.100708
90,mps,3.124792
91,mps,3.132834
92,mps,3.686625
93,mps,3.350542
94,mps,3.127167
95,mps,3.193833
96,mps,3.097917
97,mps,3.402167
98,mps,3.212167
99,mps,3.142500
100,mps,3.151167
101,cpu,1.679666
102,cpu,0.410458
103,cpu,0.480750
104,cpu,0.229541
105,cpu,0.196167
106,cpu,0.180666
107,cpu,0.174792
108,cpu,0.173125
109,cpu,0.170958
110,cpu,0.171166
111,cpu,0.168542
112,cpu,0.168083
113,cpu,0.167417
114,cpu,0.166875
115,cpu,0.166291
116,cpu,0.172542
117,cpu,0.174417
118,cpu,0.169625
119,cpu,0.167583
120,cpu,0.167334
121,cpu,0.165375
122,cpu,0.164250
123,cpu,0.165375
124,cpu,0.164000
125,cpu,0.165958
126,cpu,0.164083
127,cpu,0.164125
128,cpu,0.173791
129,cpu,0.170166
130,cpu,0.167500
131,cpu,0.165583
132,cpu,0.164042
133,cpu,0.164000
134,cpu,0.164500
135,cpu,0.164042
136,cpu,0.163833
137,cpu,0.163958
138,cpu,0.163584
139,cpu,0.164375
140,cpu,0.164833
141,cpu,0.165417
142,cpu,0.188750
143,cpu,0.194666
144,cpu,0.200417
145,cpu,0.199000
146,cpu,0.198125
147,cpu,0.191458
148,cpu,0.168834
149,cpu,0.168250
150,cpu,0.168167
151,mps,24.285000
152,mps,5.615667
153,mps,4.785917
154,mps,5.076042
155,mps,4.577875
156,mps,4.345125
157,mps,4.581875
158,mps,4.645542
159,mps,4.232875
160,mps,3.970875
161,mps,4.006583
162,mps,3.975666
163,mps,3.766166
164,mps,3.867083
165,mps,3.986417
166,mps,4.027208
167,mps,3.755500
168,mps,3.595834
169,mps,3.483958
170,mps,3.484209
171,mps,3.331166
172,mps,3.360458
173,mps,3.290167
174,mps,3.277625
175,mps,3.512292
176,mps,3.285625
177,mps,3.252042
178,mps,3.225792
179,mps,3.270916
180,mps,3.472208
181,mps,3.396541
182,mps,3.244166
183,mps,3.242416
184,mps,3.286917
185,mps,3.321083
186,mps,3.142541
187,mps,3.134292
188,mps,3.130500
189,mps,3.185791
190,mps,3.384542
191,mps,3.193792
192,mps,3.221666
193,mps,3.243583
194,mps,3.229667
195,mps,3.231167
196,mps,3.266250
197,mps,3.170042
198,mps,3.132708
199,mps,3.122500
200,mps,3.432291
201,cpu,3.766042
202,cpu,0.367125
203,cpu,0.259583
204,cpu,0.242458
205,cpu,0.232750
206,cpu,0.228000
207,cpu,0.226417
208,cpu,0.226125
209,cpu,0.229917
210,cpu,0.451500
211,cpu,0.228833
212,cpu,0.223750
213,cpu,0.221875
214,cpu,0.222291
215,cpu,0.212459
216,cpu,0.218750
217,cpu,0.187667
218,cpu,0.187709
219,cpu,0.186750
220,cpu,0.185792
221,cpu,0.186833
222,cpu,0.186333
223,cpu,0.185084
224,cpu,0.187458
225,cpu,0.185916
226,cpu,0.185167
227,cpu,0.185916
228,cpu,0.186208
229,cpu,0.184916
230,cpu,0.184333
231,cpu,0.185542
232,cpu,0.185250
233,cpu,0.184959
234,cpu,0.185666
235,cpu,0.185000
236,cpu,0.184292
237,cpu,0.185208
238,cpu,0.185125
239,cpu,0.184500
240,cpu,0.172875
241,cpu,0.159542
242,cpu,0.159916
243,cpu,0.160458
244,cpu,0.160333
245,cpu,0.161125
246,cpu,0.160416
247,cpu,0.159958
248,cpu,0.159875
249,cpu,0.159833
250,cpu,0.160250
251,mps,49.868708
252,mps,5.217584
253,mps,5.007542
254,mps,4.480792
255,mps,4.157500
256,mps,4.533333
257,mps,4.283709
258,mps,3.970250
259,mps,3.835458
260,mps,4.064417
261,mps,3.543833
262,mps,3.505167
263,mps,3.704875
264,mps,4.111292
265,mps,3.645958
266,mps,3.484209
267,mps,3.344167
268,mps,3.248792
269,mps,3.776709
270,mps,3.336667
271,mps,3.244250
272,mps,3.214375
273,mps,3.189250
274,mps,3.318083
275,mps,3.198916
276,mps,3.172959
277,mps,3.313667
278,mps,3.145500
279,mps,3.482083
280,mps,3.181583
281,mps,3.344791
282,mps,3.259875
283,mps,3.156875
284,mps,3.381166
285,mps,3.219542
286,mps,3.165583
287,mps,3.157667
288,mps,3.323000
289,mps,4.071875
290,mps,4.054625
291,mps,3.478084
292,mps,3.346666
293,mps,3.503250
294,mps,3.765542
295,mps,3.538166
296,mps,3.523542
297,mps,3.596417
298,mps,3.927833
299,mps,3.518084
300,mps,3.519916
301,cpu,2.522750
302,cpu,0.552417
303,cpu,0.287291
304,cpu,0.256416
305,cpu,0.258375
306,cpu,0.244708
307,cpu,0.235250
308,cpu,0.231625
309,cpu,0.231000
310,cpu,0.224750
311,cpu,0.223667
312,cpu,0.222250
313,cpu,0.221750
314,cpu,0.220125
315,cpu,0.219958
316,cpu,0.219166
317,cpu,0.219584
318,cpu,0.218833
319,cpu,0.219083
320,cpu,0.219500
321,cpu,0.216250
322,cpu,0.184917
323,cpu,0.184958
324,cpu,0.185333
325,cpu,0.184334
326,cpu,0.184584
327,cpu,0.184333
328,cpu,0.187084
329,cpu,0.185208
330,cpu,0.184333
331,cpu,0.184625
332,cpu,0.184625
333,cpu,0.183333
334,cpu,0.184000
335,cpu,0.183875
336,cpu,0.190625
337,cpu,0.184250
338,cpu,0.184083
339,cpu,0.183542
340,cpu,0.184292
341,cpu,0.184791
342,cpu,0.185333
343,cpu,0.184792
344,cpu,0.184292
345,cpu,0.184500
346,cpu,0.159583
347,cpu,0.160833
348,cpu,0.160875
349,cpu,0.159750
350,cpu,0.160125
351,mps,11.723000
352,mps,5.451083
353,mps,4.603333
354,mps,4.220541
355,mps,4.382834
356,mps,4.816958
357,mps,4.087792
358,mps,4.141667
359,mps,4.061209
360,mps,3.970041
361,mps,3.617750
362,mps,3.597208
363,mps,3.821542
364,mps,3.620791
365,mps,4.044791
366,mps,3.496334
367,mps,3.532167
368,mps,3.362125
369,mps,3.689041
370,mps,3.563000
371,mps,3.528416
372,mps,3.306542
373,mps,3.323333
374,mps,3.480542
375,mps,3.240334
376,mps,3.208291
377,mps,3.170500
378,mps,3.156292
379,mps,3.403625
380,mps,3.366166
381,mps,3.309209
382,mps,3.223417
383,mps,3.160625
384,mps,3.311916
385,mps,3.179833
386,mps,3.155750
387,mps,3.081500
388,mps,3.073791
389,mps,3.388792
390,mps,3.132834
391,mps,3.091542
392,mps,3.243833
393,mps,3.073291
394,mps,3.224250
395,mps,3.162125
396,mps,3.047375
397,mps,3.117208
398,mps,3.048875
399,mps,3.549042
400,mps,3.100208
401,cpu,0.716334
402,cpu,0.344000
403,cpu,0.297750
404,cpu,0.281042
405,cpu,0.301333
406,cpu,0.273875
407,cpu,0.265459
408,cpu,0.227584
409,cpu,0.226791
410,cpu,0.224958
411,cpu,0.227334
412,cpu,0.221750
413,cpu,0.222625
414,cpu,0.223583
415,cpu,0.222875
416,cpu,0.222292
417,cpu,0.228041
418,cpu,0.223584
419,cpu,0.220833
420,cpu,0.219708
421,cpu,0.222750
422,cpu,0.220458
423,cpu,0.230333
424,cpu,0.479958
425,cpu,0.297042
426,cpu,0.246250
427,cpu,0.203042
428,cpu,0.204917
429,cpu,0.193959
430,cpu,0.193417
431,cpu,0.193041
432,cpu,0.193333
433,cpu,0.189208
434,cpu,0.188708
435,cpu,0.190334
436,cpu,0.189792
437,cpu,0.188625
438,cpu,0.187500
439,cpu,0.188083
440,cpu,0.188875
441,cpu,0.188708
442,cpu,0.187000
443,cpu,0.187125
444,cpu,0.186583
445,cpu,0.187209
446,cpu,0.186542
447,cpu,0.188459
448,cpu,0.186750
449,cpu,0.186875
450,cpu,0.182459
451,mps,9.370666
452,mps,5.981958
453,mps,5.247500
454,mps,5.096833
455,mps,4.496708
456,mps,4.459708
457,mps,4.446375
458,mps,4.586625
459,mps,4.214417
460,mps,4.005791
461,mps,4.116291
462,mps,4.180875
463,mps,4.002833
464,mps,4.007083
465,mps,3.962375
466,mps,3.768459
467,mps,3.523958
468,mps,3.551542
469,mps,3.486083
470,mps,3.788708
471,mps,4.064667
472,mps,3.409500
473,mps,3.402834
474,mps,3.296458
475,mps,3.380625
476,mps,3.315000
477,mps,3.290459
478,mps,3.403542
479,mps,3.205125
480,mps,3.304291
481,mps,3.219125
482,mps,3.186625
483,mps,3.366625
484,mps,3.183458
485,mps,3.283917
486,mps,3.195708
487,mps,3.182416
488,mps,3.152042
489,mps,3.168500
490,mps,3.285083
491,mps,3.151417
492,mps,3.187500
493,mps,3.081166
494,mps,3.069292
495,mps,3.439625
496,mps,3.198208
497,mps,3.048875
498,mps,3.106583
499,mps,3.045500
500,mps,3.084792
501,cpu,0.695208
502,cpu,0.357208
503,cpu,0.298667
504,cpu,0.284209
505,cpu,0.277041
506,cpu,0.271334
507,cpu,0.269500
508,cpu,0.226958
509,cpu,0.227792
510,cpu,0.222416
511,cpu,0.227750
512,cpu,0.224208
513,cpu,0.221750
514,cpu,0.224250
515,cpu,0.222875
516,cpu,0.221084
517,cpu,0.220666
518,cpu,0.223833
519,cpu,0.220875
520,cpu,0.226125
521,cpu,0.220791
522,cpu,0.224292
523,cpu,0.224333
524,cpu,0.220167
525,cpu,0.222500
526,cpu,0.221625
527,cpu,0.219250
528,cpu,0.197083
529,cpu,0.184833
