run_id,backend,batch_ms,per_sample_ms,batch_size
1,cpu,0.756959,0.756959,1
2,cpu,0.726833,0.726833,1
3,cpu,0.702333,0.702333,1
4,cpu,0.706666,0.706666,1
5,cpu,0.707042,0.707042,1
6,cpu,0.704542,0.704542,1
7,cpu,0.713416,0.713416,1
8,cpu,0.709792,0.709792,1
9,cpu,0.706125,0.706125,1
10,cpu,0.702292,0.702292,1
11,cpu,0.705250,0.705250,1
12,cpu,0.707834,0.707834,1
13,cpu,0.704209,0.704209,1
14,cpu,0.706917,0.706917,1
15,cpu,0.699583,0.699583,1
16,cpu,0.711625,0.711625,1
17,cpu,0.709041,0.709041,1
18,cpu,0.702416,0.702416,1
19,cpu,0.711167,0.711167,1
20,cpu,0.708959,0.708959,1
21,cpu,0.703042,0.703042,1
22,cpu,0.702208,0.702208,1
23,cpu,0.704084,0.704084,1
24,cpu,0.702834,0.702834,1
25,cpu,0.700834,0.700834,1
26,cpu,0.703583,0.703583,1
27,cpu,0.703042,0.703042,1
28,cpu,0.704792,0.704792,1
29,cpu,0.702542,0.702542,1
30,cpu,0.707792,0.707792,1
31,cpu,0.706000,0.706000,1
32,cpu,0.699667,0.699667,1
33,cpu,0.706125,0.706125,1
34,cpu,0.696792,0.696792,1
35,cpu,0.709542,0.709542,1
36,cpu,0.703958,0.703958,1
37,cpu,0.703000,0.703000,1
38,cpu,0.701833,0.701833,1
39,cpu,0.703958,0.703958,1
40,cpu,0.698459,0.698459,1
41,cpu,0.710250,0.710250,1
42,cpu,0.707000,0.707000,1
43,cpu,0.704709,0.704709,1
44,cpu,0.701542,0.701542,1
45,cpu,0.702875,0.702875,1
46,cpu,0.704458,0.704458,1
47,cpu,0.704208,0.704208,1
48,cpu,0.700917,0.700917,1
49,cpu,0.698833,0.698833,1
50,cpu,0.700666,0.700666,1
51,mps,24.447541,24.447541,1
52,mps,24.261167,24.261167,1
53,mps,24.640042,24.640042,1
54,mps,24.080875,24.080875,1
55,mps,24.179916,24.179916,1
56,mps,24.615333,24.615333,1
57,mps,25.033542,25.033542,1
58,mps,24.958416,24.958416,1
59,mps,24.530167,24.530167,1
60,mps,24.601416,24.601416,1
61,mps,24.081250,24.081250,1
62,mps,24.650625,24.650625,1
63,mps,24.058625,24.058625,1
64,mps,24.149375,24.149375,1
65,mps,25.067959,25.067959,1
66,mps,23.942750,23.942750,1
67,mps,24.919625,24.919625,1
68,mps,24.919250,24.919250,1
69,mps,24.830458,24.830458,1
70,mps,24.652333,24.652333,1
71,mps,24.000250,24.000250,1
72,mps,25.007375,25.007375,1
73,mps,25.487333,25.487333,1
74,mps,25.219917,25.219917,1
75,mps,24.465167,24.465167,1
76,mps,24.391791,24.391791,1
77,mps,24.636833,24.636833,1
78,mps,24.981166,24.981166,1
79,mps,25.492958,25.492958,1
80,mps,25.063416,25.063416,1
81,mps,24.507708,24.507708,1
82,mps,24.691875,24.691875,1
83,mps,24.416916,24.416916,1
84,mps,24.548209,24.548209,1
85,mps,25.063500,25.063500,1
86,mps,24.877250,24.877250,1
87,mps,24.813250,24.813250,1
88,mps,24.363250,24.363250,1
89,mps,24.245709,24.245709,1
90,mps,25.113417,25.113417,1
91,mps,24.237958,24.237958,1
92,mps,24.473000,24.473000,1
93,mps,24.326333,24.326333,1
94,mps,24.683542,24.683542,1
95,mps,24.245416,24.245416,1
96,mps,24.360416,24.360416,1
97,mps,24.323208,24.323208,1
98,mps,25.086125,25.086125,1
99,mps,24.688292,24.688292,1
100,mps,24.678500,24.678500,1
101,cpu,5.705666,5.705666,1
102,cpu,3.765417,3.765417,1
103,cpu,2.182958,2.182958,1
104,cpu,1.799291,1.799291,1
105,cpu,1.743416,1.743416,1
106,cpu,1.542125,1.542125,1
107,cpu,1.453083,1.453083,1
108,cpu,1.469625,1.469625,1
109,cpu,1.452250,1.452250,1
110,cpu,1.303458,1.303458,1
111,cpu,1.255375,1.255375,1
112,cpu,1.253750,1.253750,1
113,cpu,1.257875,1.257875,1
114,cpu,1.257375,1.257375,1
115,cpu,1.250917,1.250917,1
116,cpu,1.151584,1.151584,1
117,cpu,1.120042,1.120042,1
118,cpu,1.119958,1.119958,1
119,cpu,1.119833,1.119833,1
120,cpu,1.126958,1.126958,1
121,cpu,1.068209,1.068209,1
122,cpu,1.045208,1.045208,1
123,cpu,1.036833,1.036833,1
124,cpu,1.040500,1.040500,1
125,cpu,1.033417,1.033417,1
126,cpu,1.028333,1.028333,1
127,cpu,0.966542,0.966542,1
128,cpu,0.957209,0.957209,1
129,cpu,0.972333,0.972333,1
130,cpu,0.969792,0.969792,1
131,cpu,0.975833,0.975833,1
132,cpu,0.964750,0.964750,1
133,cpu,0.915459,0.915459,1
134,cpu,0.919458,0.919458,1
135,cpu,0.912333,0.912333,1
136,cpu,0.902084,0.902084,1
137,cpu,0.901375,0.901375,1
138,cpu,0.898083,0.898083,1
139,cpu,0.876458,0.876458,1
140,cpu,0.865750,0.865750,1
141,cpu,0.864125,0.864125,1
142,cpu,0.863000,0.863000,1
143,cpu,0.855250,0.855250,1
144,cpu,0.820792,0.820792,1
145,cpu,0.830916,0.830916,1
146,cpu,0.829333,0.829333,1
147,cpu,0.834250,0.834250,1
148,cpu,0.829583,0.829583,1
149,cpu,0.832791,0.832791,1
150,cpu,0.809125,0.809125,1
151,mps,28.091000,28.091000,1
152,mps,24.419459,24.419459,1
153,mps,24.439875,24.439875,1
154,mps,24.169458,24.169458,1
155,mps,24.075459,24.075459,1
156,mps,25.124958,25.124958,1
157,mps,24.638958,24.638958,1
158,mps,24.809667,24.809667,1
159,mps,24.713958,24.713958,1
160,mps,24.594583,24.594583,1
161,mps,24.100584,24.100584,1
162,mps,24.084166,24.084166,1
163,mps,24.627084,24.627084,1
164,mps,24.069166,24.069166,1
165,mps,23.926000,23.926000,1
166,mps,24.590500,24.590500,1
167,mps,23.879083,23.879083,1
168,mps,24.964959,24.964959,1
169,mps,24.894042,24.894042,1
170,mps,24.708708,24.708708,1
171,mps,24.606000,24.606000,1
172,mps,24.694375,24.694375,1
173,mps,24.130167,24.130167,1
174,mps,23.985542,23.985542,1
175,mps,24.893667,24.893667,1
176,mps,24.792416,24.792416,1
177,mps,24.466208,24.466208,1
178,mps,24.695583,24.695583,1
179,mps,23.960667,23.960667,1
180,mps,23.867792,23.867792,1
181,mps,24.571750,24.571750,1
182,mps,24.843084,24.843084,1
183,mps,24.722667,24.722667,1
184,mps,24.535916,24.535916,1
185,mps,24.749875,24.749875,1
186,mps,24.777167,24.777167,1
187,mps,24.629791,24.629791,1
