seq_len,layers,batch_size,backend,rmse,mae,r2,mean_ms_batch,p50_ms_batch,p90_ms_batch,p99_ms_batch,mean_ms_per_sample,p50_ms_per_sample,throughput_sps,throughput_wall_sps,timed_target_M_samples,actual_samples,n_batches,model_hash,data_hash,date_iso,parity_vs_cpu_max_abs,parity_vs_cpu_mean_abs,parity_vs_cpu_rmse
10,1,1,cpu,0.864775,0.723495,0.845947,0.287546,0.279646,0.423404,1.280621,0.287546,0.279646,3477.706311,3443.308770,200,200,200,fca3bb89afb43268ebfb28b7652f1376c7a16673291227c70a024e1f08562ca2,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:33:47.252226+00:00,,,
10,1,1,mps,0.864775,0.723495,0.845947,3.730093,3.250959,4.619034,10.867887,3.730093,3.250959,268.089824,267.892678,200,200,200,fca3bb89afb43268ebfb28b7652f1376c7a16673291227c70a024e1f08562ca2,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:33:47.252591+00:00,0.000001,0.000000,0.000000
10,1,8,cpu,0.864775,0.723495,0.845947,0.162068,0.155083,0.163550,0.274063,0.020259,0.019385,49361.862196,49157.163564,200,200,25,fca3bb89afb43268ebfb28b7652f1376c7a16673291227c70a024e1f08562ca2,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:33:47.757781+00:00,,,
10,1,8,mps,0.864775,0.723495,0.845947,3.331173,3.222041,3.685308,3.914595,0.416397,0.402755,2401.556333,2399.781581,200,200,25,fca3bb89afb43268ebfb28b7652f1376c7a16673291227c70a024e1f08562ca2,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:33:47.757964+00:00,0.000001,0.000000,0.000000
10,1,32,cpu,0.864775,0.723495,0.845947,0.324310,0.302209,0.407000,0.427925,0.010135,0.009444,98671.111546,98357.042242,200,224,7,fca3bb89afb43268ebfb28b7652f1376c7a16673291227c70a024e1f08562ca2,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:33:47.877126+00:00,,,
10,1,32,mps,0.864775,0.723495,0.845947,3.508179,3.294583,3.908767,4.430227,0.109631,0.102956,9121.542518,9115.880833,200,224,7,fca3bb89afb43268ebfb28b7652f1376c7a16673291227c70a024e1f08562ca2,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:33:47.877322+00:00,0.000001,0.000000,0.000000
10,1,64,cpu,0.864775,0.723495,0.845947,0.539104,0.506603,0.688037,0.724341,0.008423,0.007916,118715.553401,118438.627300,200,256,4,fca3bb89afb43268ebfb28b7652f1376c7a16673291227c70a024e1f08562ca2,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:33:47.946386+00:00,,,
10,1,64,mps,0.864775,0.723495,0.845947,3.442250,3.161208,4.078833,4.404183,0.053785,0.049394,18592.490377,18579.615940,200,256,4,fca3bb89afb43268ebfb28b7652f1376c7a16673291227c70a024e1f08562ca2,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:33:47.946575+00:00,0.000001,0.000000,0.000000
10,3,1,cpu,0.991853,0.806623,0.797345,0.585417,0.509604,0.923692,2.059106,0.585417,0.509604,1708.183906,1700.960598,200,200,200,a0ac01f55193966ec2b75d686d9548724abf797d87c7327e9e2f5ce21bd7f8ac,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:34:24.790941+00:00,,,
10,3,1,mps,0.991853,0.806623,0.797345,8.391506,8.026271,8.922746,15.877794,8.391506,8.026271,119.168120,119.131298,200,200,200,a0ac01f55193966ec2b75d686d9548724abf797d87c7327e9e2f5ce21bd7f8ac,c4b992d168878b4c6a1fb91d50c6360195a1318fec1d7373d714d2276aa36b4b,2025-09-05T20:34:24.791264+00:00,0.000003,0.000000,0.000001
